nombre;codigo;;
FABIO SALAZAR;8087;;
SUIZO;8090;;
LAS COLINAS;8091;;
EL GUADUAL;8092;;
MELQUISEDEC;8093;;
URBANIZACION LA CRISTINA;8097;;
URBANIZACION EL DIVINO NI—O;8098;;
URBANIZACION LOS PINOS;8100;;
URBANIZACION LA VI—A;8101;;
URBANIZACION PAMPALINDA;8102;;
CARLOS H. TRUJILLO;8104;;
CONDOMINIO SANTA BARBARA;8105;;
SAN JERONIMO;8106;;
URBANIZACION LA PLAZUELA;8107;;
CONDOMINIO IPANEMA;8108;;
CONDOMINIO VILLA MARTHA;8109;;
CONDOMINIO LOS CRISTALES;8110;;
CONDOMINIO EL RETIRO;8111;;
SAN JUAN DE LA CRUZ;8112;;
EL ROSARIO;8113;;
URBANIZACION LA PRADERA;8114;;
CONDOMINIO SAN MARCOS;8115;;
URBANIZACION LOS CAMINOS;8116;;
URBANIZACION CAMILO TORRES;8117;;
LOS CHORROS;8119;;
URBANIZACION LA FRESNEDA 1;8120;;
URBANIZACION SANTA ROSA DE LIMA;8122;;
EL CIPRES;8123;;
URBANIZACION SAN AGUSTIN;8124;;
URBANIZACION SANTA HELENA;8125;;
URBANIZACION EL ROBLE;8126;;
ROBERTULIO LORA;8127;;
CARACOLI;8128;;
URBANIZACION EL POBLADO;8130;;
CONDOMINIO BOSQUES DE LOS LAGOS;8131;;
CONDOMINIO LOS LAGOS;8132;;
CONDOMINIO LOS LAGUITOS;8133;;
TORRE LA VEGA;8134;;
URBANIZACION VILLAS DEL SAMAN;8135;;
URBANIZACION VILLA MARCELA;8136;;
CONDOMINIO LOS SAMANES;8137;;
JUAN XXIII SEGUNDA ETAPA;8139;;
BOTERO OBYRNE;8141;;
REPUBLICA DE FRANCIA;8142;;
FLOR DE DAMAS;8143;;
EMPRESAS MUNICIPALES;8145;;
URBANIZACION VILLA DEL MAR;8146;;
CONDOMINIO LA CASCADA;8150;;
LA CASTELLANA;8151;;
EL PALATINO;8152;;
CONDOMINIO QUINTAS DE NAVARRA;8154;;
JUAN XXIII PRIMERA ETAPA;8155;;
GUADALUPE;8158;;
LA ISLETA;8159;;
CONDOMINIO EL CARMEN;8162;;
LA ISABELA;8164;;
CONDOMINIO LA ISABELA;8165;;
CONDOMINIO VILLA DEL RIO;8166;;
PRADO NORTE;8167;;
URBANIZACION TORRES DEL SOL;8168;;
CONDOMINIO TORRE MOLINOS;8169;;
CONDOMINIO ALTAMAR CLUB;8170;;
CONDOMINIO FLAMINGO;8171;;
URBANIZACION ENTRE RIOS;8172;;
URBANIZACION PRADO VERDE;8173;;
URBANIZACION PRADO ALTO;8174;;
VILLA HELENA;8175;;
URBANIZACION MONTE VERDE;8176;;
URBANIZACION SANTA LUCIA;8177;;
CONDOMINIO SANTA ANA DE LOS CABALLEROS;8178;;
CONDOMINIO BALCONES DE SANTA LUCIA;8179;;
LA INDEPENDENCIA;8181;;
CONDOMINIO LAS AMERICAS;8182;;
EL LLANO;8183;;
MARISCAL ROBLEDO;8184;;
SANTA MONICA;8185;;
CUCHARA LARGA;8186;;
URBANIZACION VILLA BIVIANA;8187;;
LAURELES;8188;;
CONDOMINIO QUINTAS DE ESTEBAN;8189;;
LOS ANGELES;8190;;
URBANIZACION ARGOS;8191;;
URBANIZACION VILLA CAROLINA;8192;;
URBANIZACION PORTAL DE KYRENIA;8193;;
PINARES;8194;;
SANTA MARIA;8195;;
LA EPIFANIA ETAPA I;8196;;
LA PAZ;8197;;
URBANIZACION PORTAL DE LOS ALAMOS ETAPA I;8198;;
URBANIZACION PORTAL DE LOS ALAMOS ETAPA II;8199;;
URBANIZACION PORTAL DE LOS ALAMOS ETAPA III;8200;;
PRADO OCCIDENTAL;8201;;
SAN GABRIEL;8202;;
GUAYACANES;8203;;
URBANIZACION VILLA LORENA;8204;;
URBANIZACION VILLA JULIANA;8205;;
URBANIZACION LAS ACACIAS;8206;;
URBANIZACION LA ESPA—OLA;8207;;
CONDOMINIO VILLA DE SANTA MARIA;8208;;
URBANIZACION PRAGA;8209;;
URBANIZACION SANTA MARIA REAL;8210;;
URBANIZACION CHIMINANGOS;8211;;
LA EPIFANIA ETAPA II;8212;;
LA EPIFANIA ETAPA III;8213;;
URBANIZACION GRUPO DE LOS 6O;8214;;
LOS CAMBULOS;8215;;
URBANIZACION LAS PALMAS;8216;;
CONDOMINIO VILLA DEL ROBLE;8217;;
URBANIZACION VILLA AMALIA;8218;;
PRIMERO DE MAYO;8219;;
CAMPO ALEGRE;8220;;
URBANIZACION LA FRESNEDA ETAPA II;8221;;
SAN CARLOS;8222;;
URBANIZACION COOTEMCA;8223;;
URBANIZACION SANTA CATALINA;8224;;
SAN PABLO;8225;;
COOMVIVIR;8226;;
URBANIZACION SANTA ISABEL;8227;;
SAN JOAQUIN;8228;;
EL DANUBIO;8229;;
URBANIZACION LUIS CARLOS GALAN;8230;;
URBANIZACION LA VALENCIANA;8232;;
SANTA ANA NORTE;8233;;
URBANIZACION LA FRESNEDA ETAPA III;8234;;
CONDOMINIO EL HIGUERON;8235;;
CONDOMINIO VILLA CAMPESTRE;8236;;
LOS ALCAZARES;8238;;
URBANIZACION LA FRESNEDA ETAPA IV;8239;;
GUAYABAL;8240;;
SANTA ANA;8241;;
AVENIDAD BOYACA;8242;;
CALLE NUEVA;8243;;
EL EMBUDO;8244;;
CALLE VIDELA;8245;;
EL NARANJITO;8246;;
CALLE BAVARIA;8247;;
CALLE LA VIRGEN;8248;;
CALLE LAS FLOREZ;8249;;
CALLE LOS TUBOS;8250;;
CALLE SOR VASQUEZ;8251;;
CALLE CUNDINAMARCA;8252;;
CALLE LA VALENCIA;8253;;
CALLE LA RELOJERA;8254;;
CALLE LA LIBERAL;8255;;
CALLE LOS IMANES;8256;;
CALLE LA QUINTA;8257;;
CALLE LOS BALSOS;8258;;
CALLE LAS CONCHAS;8259;;
CALLE LA VICTORIA;8260;;
CENTENARIO;8261;;
CARRERA 11;8262;;
VIENTO LIBRE NORTE;8263;;
MONTE CHINO;8264;;
EL FIRME;8265;;
EL CAPRICHO;8266;;
SANTANDER;8267;;
EL JORGE;8268;;
BORRERO SOLANO;8269;;
ZONA FRANCA;8270;;
MUELLE PETROLERO;8271;;
ALFONSO LOPEZ PUMAREJO ETAPA I;8272;;
ALFONSO LOPEZ PUMAREJO ETAPA II;8273;;
SAN JORGE;8274;;
MURO YUSTI;8275;;
CALLE LA CHANBELONA;8276;;
CALLE LOS JUNTADOS;8277;;
CALLE LOS HURTADO;8278;;
CALLE GATO NEGRO;8279;;
CALLE CANDADO;8280;;
CALLE ASERIO EL ESFUERZO;8281;;
VIENTO LIBRE SUR;8282;;
EL ARENAL;8284;;
MORROCOY;8286;;
CALLES PIEDRAS CANTAN;8287;;
CALLE LA 15 Y 16;8288;;
LA TROJA;8289;;
LA PLAYITA;8290;;
CALLE SAN FRANCISCO;8291;;
PASCUAL DE ANDAGOYA;8292;;
LA PALERA;8293;;
PUNTA DEL ESTE;8294;;
SANTA CRUZ;8295;;
LA INMACULADA;8296;;
SANTAFE;8297;;
KENNEDY PARTE ALTA;8298;;
ZONA MADERERA;8299;;
ZONA PESQUERA;8300;;
EL PI—AL;8301;;
EL PORVENIR;8302;;
EL CAMPIN;8303;;
EL JARDIN;8304;;
BRISAS DEL MAR;8305;;
MIRAFLORES;8306;;
BOSQUE MUNICIPAL;8307;;
ISLA DE LA PAZ;8308;;
ORIENTE;8309;;
LA COMUNA;8310;;
NAVAL;8311;;
KENNEDY;8312;;
SAN LUIS;8313;;
SAN FRANCISCO;8314;;
JUAN XXIII;8315;;
EUCARISTICO;8316;;
ROCKEFELLER;8317;;
14 DE JULIO;8318;;
MUNICIPAL;8319;;
MODELO;8320;;
MARIA EUGENIA;8321;;
BELLAVISTA;8322;;
EL OLIMPICO;8323;;
EL CRISTAL;8324;;
TRANSFORMACION;8325;;
CIUDADELA DE PUERTOS;8326;;
EL GALEON;8327;;
LOS LAURELES;8328;;
AR-9;8329;;
SAN BUENAVENTURA;8330;;
LOS MANGLARES;8331;;
DO—A CECI;8332;;
12 DE ABRIL;8333;;
TURBAY AYALA;8334;;
6 DE ENERO;8336;;
GAMBOA;8337;;
INDEPENDENCIA;8338;;
AR-12;8339;;
CARLOS HOLMES TRUJILLO;8340;;
LA AMERICA;8341;;
SIMON BOLIVAR;8342;;
CAMILO TORRES;8343;;
EL PROGRESO;8344;;
LA FORTALEZA;8345;;
URBANIZACION COMFAMAR;8346;;
BAHIA;8347;;
LAS ACUARELAS;8348;;
LOS ALAMOS;8349;;
EL DORADO;8350;;
ANTONIO NARI—O;8351;;
CASCAJAL;8352;;
EL CARMEN;8353;;
CRISTOBAL COLON;8354;;
NUEVA COLOMBIA;8355;;
AR-11;8356;;
PANAMERICANO;8357;;
URBANIZACION INDERENA;8358;;
GRAN COLOMBIANA;8359;;
LOS PINOS;8360;;
ALFONSO LOPEZ MICHELSEN;8361;;
UNION DE VIVIENDA;8362;;
EL TRIUNFO;8363;;
EL RETEN;8364;;
NUEVA GRANADA;8365;;
LAS PALMAS;8366;;
NUEVA FRONTERA;8367;;
MATIAS MULUMBA;8368;;
EL RUIZ;8369;;
CABAL POMBO;8370;;
